32009,FL,BRYCEVILLE
32011,FL,CALLAHAN
32013,FL,DAY
32033,FL,ELKTON
32034,FL,AMELIA ISLAND
32038,FL,FORT WHITE
32040,FL,GLEN SAINT MARY
32043,FL,GREEN COVE SPRIN
32044,FL,HAMPTON
32046,FL,HILLIARD
32052,FL,JASPER
32053,FL,JENNINGS
32054,FL,LAKE BUTLER
32055,FL,LAKE CITY
32058,FL,LAWTEY
32059,FL,LEE
32060,FL,BOYS RANCH
32061,FL,LULU
32062,FL,MC ALPIN
32063,FL,MACCLENNY
32065,FL,ORANGE PARK
32066,FL,MAYO
32068,FL,MIDDLEBURG
32071,FL,O BRIEN
32073,FL,ORANGE PARK
32082,FL,PONTE VEDRA BEAC
32083,FL,RAIFORD
32084,FL,SAINT AUGUSTINE
32086,FL,SAINT AUGUSTINE
32087,FL,SANDERSON
32091,FL,STARKE
32092,FL,SAINT AUGUSTINE
32094,FL,WELLBORN
32095,FL,SAINT AUGUSTINE
32096,FL,WHITE SPRINGS
32097,FL,YULEE
32102,FL,ASTOR
32110,FL,BUNNELL
32112,FL,CRESCENT CITY
32113,FL,CITRA
32114,FL,DAYTONA BEACH
32117,FL,HOLLY HILL
32118,FL,DAYTONA BEACH
32119,FL,DUNLAWTON
32124,FL,PORT ORANGE
32127,FL,PORT ORANGE
32130,FL,DE LEON SPRINGS
32131,FL,EAST PALATKA
32132,FL,EDGEWATER
32134,FL,SALT SPRINGS
32136,FL,FLAGLER BEACH
32137,FL,PALM COAST
32139,FL,GEORGETOWN
32140,FL,FLORAHOME
32141,FL,EDGEWATER
32145,FL,HASTINGS
32148,FL,INTERLACHEN
32159,FL,LADY LAKE
32168,FL,NEW SMYRNA BEACH
32169,FL,NEW SMYRNA BEACH
32174,FL,ORMOND BEACH
32176,FL,ORMOND BEACH
32177,FL,PALATKA
32179,FL,OCKLAWAHA
32180,FL,PIERSON
32181,FL,POMONA PARK
32187,FL,SAN MATEO
32189,FL,SATSUMA
32190,FL,SEVILLE
32195,FL,WEIRSDALE
32202,FL,JACKSONVILLE
32204,FL,JACKSONVILLE
32205,FL,JACKSONVILLE
32206,FL,JACKSONVILLE
32207,FL,JACKSONVILLE
32208,FL,JACKSONVILLE
32209,FL,JACKSONVILLE
32210,FL,JACKSONVILLE
32211,FL,JACKSONVILLE
32212,FL,JACKSONVILLE N A
32215,FL,CECIL FIELD NAS
32216,FL,JACKSONVILLE
32217,FL,JACKSONVILLE
32218,FL,JACKSONVILLE
32219,FL,JACKSONVILLE
32220,FL,JACKSONVILLE
32221,FL,JACKSONVILLE
32222,FL,JACKSONVILLE
32223,FL,JACKSONVILLE
32224,FL,JACKSONVILLE
32225,FL,JACKSONVILLE
32226,FL,JACKSONVILLE
32227,FL,JACKSONVILLE BEA
32233,FL,ATLANTIC BEACH
32234,FL,BALDWIN
32244,FL,JACKSONVILLE
32250,FL,JACKSONVILLE BEA
32256,FL,JACKSONVILLE
32257,FL,JACKSONVILLE
32258,FL,JACKSONVILLE
32259,FL,JACKSONVILLE
32266,FL,NEPTUNE BEACH
32301,FL,TALLAHASSEE
32303,FL,TALLAHASSEE
32304,FL,TALLAHASSEE
32306,FL,TALLAHASSEE
32308,FL,TALLAHASSEE
